agency,role,PL,CL,Life,score,NPS,is_easy,comments,category
6118,Principal,Personal Lines,,,8,Neutral,Agree,"Many clients are price shopping, but we always stress reliability and service is worth the price...",Positive
4501162,Producer,Personal Lines,,,8,Promoter,Agree,I have been able to help customers by switching to Grange. Bryan Allen has been wonderful source of knowledge and great communication. When he's out everyone else has been super helpful.,Positive
3701637,Producer,Personal Lines,,,3,Promoter,Agree,Quoting is easy.  Billing can be an issue. I have a had client tell that the claims personal were unprofessional.,Positive
134,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,great customer service,Positive
1601566,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,Grange is easy to do business with on the CSR side.,Positive
3311,Principal,Personal Lines,,,10,Promoter,Agree,Grange has great claims service and many customer options.,Positive
455,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Ease of business, website flows well and is set up in a very step by step manner.",
6248,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Somewhat Agree,"I like to be able to access information via their website, but the underwriters are slow to respond to submissions.",
14022,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Integrity has great claims and customer service. Betty Zahringer is amazing whenever I have a question or technically difficulties she's always happy to help.,
21111,Customer Service Representative (CSR),Personal Lines,,,7,Detractor,Neither Agree nor Disagree,"We recommend the best for our clients, Grange pricing isn't always there.",
22771,Principal,Personal Lines,,,8,Promoter,Somewhat Agree,pricing isn't high so hard to compete in MN- would like to be able to use commercial lines with you as well,
4101205,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,"I love Grange.  Website is user friendly and our underwriter/rep is great.  Keeps us informed of new products, changes/enhancements.  Easy to do business.  Quick response.",
1301118,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,Rates are competitive but do not always have the markets I need,Positive
21295,Customer Service Representative (CSR),Personal Lines,,,10,Detractor,Strongly Agree,Screens are easy to follow.,
4920,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Ease of doing business is always a constant.,
238,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,,
816,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,GOOD SERVICE,Positive
4182,Principal,,Commercial Lines,,9,Promoter,Agree,Underwriters are open to discussions,Positive
3401875,Other,Personal Lines,,,9,Promoter,Agree,Good products.,Positive
3701194,Producer,Personal Lines,Commercial Lines,,5,Detractor,Neither Agree nor Disagree,I am a new agent and have not used grange as of yet,
4101262,Customer Service Representative (CSR),,Commercial Lines,,2,Detractor,Disagree,It takes a long time to get responses from the underwriter and any other contact person.,
4101395,Producer,,Commercial Lines,,2,Detractor,Somewhat Agree,system has more questions than average to write business and ACV roof after 10 yr,
3401216,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Neither Agree nor Disagree,Grange is a great company however communication to the agents on changes is sometimes very challenging to receive.,
4080,Producer,Personal Lines,,Life,10,Promoter,Agree,"Favorite interface to quote with, great products, great support and underwriting.",Positive
4900,Principal,Personal Lines,Commercial Lines,Life,6,Neutral,Somewhat Agree,too many PL programs. E&O exposure between new & existing programs Claims office is very hard to get ahold of a live person & phone calls are not returned .,
4242,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Your website is not complicated at all. It is easy to understand. Sometimes the RCE seems to rate the homes a little higher than other companies but the auto is very competitive,
3401078,Producer,Personal Lines,,,8,Promoter,Agree,I am familiar with the Grange product,Positive
3401075,Producer,Personal Lines,,,1,Neutral,Somewhat Disagree,At this current time I am dealing with getting different answers by different underwriters and not knowing the correct answers to service a client is very frustrating.,
3401486,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Strongly Agree,I have all of my insurance with Grange and feel like they are an agent friendly company,
3401061,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,"Cause,.... Grange makes it easy to do business with them and they take care of my clients.",
4152,Customer Service Representative (CSR),Personal Lines,,,10,Neutral,Agree,Rates for auto are great. the system flows nicely and thus far the claims  are seamless,Positive
3701458,Producer,Personal Lines,,,9,Detractor,Agree,Just started working with Grange,Positive
1301551,Principal,Personal Lines,,Life,10,Promoter,Strongly Agree,"Easy web portal, able to discuss underwriting questions with my UW team, competitive rating",
3401054,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Grange website is very user friendly and Grange is very competitive with the other markets,
1301352,Producer,Personal Lines,,,2,Detractor,Somewhat Disagree,"When bridging over from EZLynx, the settings I have selected do not carry over. The quote looks good until I go in and manually set what was set in EZLynx.",
3401501,Principal,Personal Lines,,Life,10,Promoter,Agree,The system is easy to navigate and the rates are competitive,Positive
6035,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Strongly Disagree,I have found that it is very easy to work on the system and if I need help the employes are very helpful,
1601366,Other,Personal Lines,,Life,8,Neutral,Somewhat Agree,"billing issues can be difficult to resolve.   Even when the issue is not the insured's fault, there is no compromise.",
3229,Customer Service Representative (CSR),Personal Lines,,,10,Neutral,Agree,Easy quoting but sometimes auto rates are not competitive,Positive
1853,Customer Service Representative (CSR),,Commercial Lines,,9,Detractor,Somewhat Agree,Cost for coverage is a major consideration by our insureds and many times Grange pricing is out of line with competition.,
4616,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,na,
2101166,Principal,Personal Lines,,,9,Promoter,Agree,Your site and rating system make it very easy.,Positive
1090,Principal,Personal Lines,,Life,9,Neutral,Agree,automation and personnel  are spectacular but competitive position could use some improvement,Positive
4828,Producer,Personal Lines,,Life,10,Promoter,Strongly Agree,The new homeowners apps are simple to use with the RCE being built into the app. And the packages also make it simple and quick.   The auto app as well. Setting my preferences makes quoting very quick.,
4201,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,Good people make a good Company.,Positive
2101429,Principal,Personal Lines,Commercial Lines,Life,10,Neutral,Somewhat Agree,Right now the P&C rates are an issue. The rates have gone up way out of proportion.  It is very hard to get new clients Home and Auto.,
4501077,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,9,Detractor,Disagree,"Between the rate increases (which are never actually pinned down to a number) and the lack of response from our underwriter, it is almost impossible to do business with Grange.",
3401758,Principal,Personal Lines,,Life,8,Promoter,Agree,"Good rates, coverages and claims service",Positive
3402136,Customer Service Representative (CSR),,Commercial Lines,,6,Detractor,Neither Agree nor Disagree,"Have not done any business with Grange yet, only recently appointed to my agency.",
4422,Principal,Personal Lines,,,10,Promoter,Agree,Personnel are wonderful! Some computer issues with various items (RCE falling off screens etc....) took an extraordinary amount of time to resolve which impacted the speed in the office.  With that said - we like making improvements with the company - because Grange is our core company - and we all have the same goals!,Process
4483,Principal,Personal Lines,Commercial Lines,Life,7,Neutral,Somewhat Agree,Scores lower due to billing/claims issues,
4882,Principal,Personal Lines,Commercial Lines,,8,Promoter,Agree,"Not as easy as in the past, but still EODB",Positive
6325,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,We really appreciate the value that Tim brings to our production team and the time he gives to us being in full understanding of Grange's products and processes.,
3427,Producer,Personal Lines,,,10,Promoter,Strongly Agree,RATING AND CHANGES ARE VERY EASY,
6258,Customer Service Representative (CSR),,Commercial Lines,,10,Neutral,Somewhat Agree,Not able to get the pricing necessary to write policies with Grange at this time. I understand the rate will cycle back around so I continue to quote. Thank you.,
3029,Customer Service Representative (CSR),Personal Lines,,,10,Neutral,Strongly Agree,I have worked with Grange for many years.  I feel the agent and customer websites are very user friendly and Grange has always had a competitive product.  The claims service has always been great to our clients also.,
1301822,Principal,Personal Lines,Commercial Lines,Life,7,Promoter,Somewhat Agree,I feel Grange has room for improvement within the agent experience on the technical side of things.,
1228,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Somewhat Agree,easy to navigate website,
6135,Principal,Personal Lines,,Life,10,Promoter,Somewhat Agree,"Claim service is great.  But when you purchase a new vehicle or add a new driver, the rate will suffer.  I would recommend Grange because of the rate and service to the customer and for the service to the agent most of the time.  Because some of the changes we make cause rates to change in an illogical manner, there are times when Grange makes it tough to represent them to our customers.",
1601471,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Strongly Agree,Very prompt with the quotes which makes it very easy to get my quotes out in a timely manner.,
3401051,Producer,,Commercial Lines,,8,Promoter,Strongly Agree,"I have been a Grange agent for 20+ years, both commercial and personal.  Professional, caring underwriters and competitive products. I personally like the fact that a few years ago you added Grange Indemnity which has allowed me to write additional business with Grange.",
